,,,,,,,,,,,,,Cyclically,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,Adjusted,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,Total,
,,,,,,,,,,,,Price,Return Price,
,,,,  Consumer,,,,,Real,,Real,Earnings,Earnings,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,Ratio,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,P/E10 or,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,CAPE,
1880.02,5.20,0.21,0.40,9.99,1880.13,3.99,133.51,5.39,236.97,10.23,18.15,NA,NA,
1880.03,5.30,0.22,0.41,10.09,1880.21,3.97,134.79,5.47,240.06,10.36,18.46,NA,NA,
1880.04,5.18,0.22,0.42,9.70,1880.29,3.94,136.91,5.81,244.69,11.01,19.68,NA,NA,
1880.05,4.77,0.23,0.43,9.42,1880.38,3.91,129.89,6.13,233.06,11.59,20.80,NA,NA,
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,133.13,6.39,239.82,12.09,21.78,NA,NA,
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,139.24,6.53,251.81,12.35,22.33,NA,NA,
1880.08,5.19,0.24,0.45,9.23,1880.63,3.83,144.24,6.67,261.87,12.60,22.87,NA,NA,
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,142.50,6.74,259.71,12.72,23.19,NA,NA,
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,146.62,6.88,268.28,12.98,23.74,NA,NA,
1880.11,5.61,0.26,0.48,9.42,1880.88,3.75,152.77,6.94,280.58,13.09,24.05,NA,NA,
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,157.44,7.01,290.23,13.21,24.35,NA,NA,
1881.01,6.19,0.27,0.49,9.42,1881.04,3.70,168.56,7.22,311.84,13.23,24.47,18.47,24.14,
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,166.33,7.28,308.85,12.99,24.11,18.15,23.66,
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,168.22,7.41,313.50,12.87,23.99,18.27,23.77,
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,166.02,7.47,310.56,12.63,23.63,17.95,23.31,
1881.05,6.50,0.29,0.47,9.51,1881.37,3.67,175.23,7.68,328.99,12.65,23.75,18.87,24.46,
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,177.39,7.82,334.26,12.54,23.62,19.03,24.62,
1881.07,6.35,0.30,0.46,9.61,1881.54,3.66,169.49,7.87,320.62,12.30,23.27,18.12,23.40,
1881.08,6.20,0.30,0.46,9.80,1881.62,3.65,162.28,7.85,308.20,11.95,22.70,17.29,22.29,
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,157.47,7.68,300.29,11.40,21.74,16.72,21.54,
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,153.51,7.74,293.98,11.19,21.43,16.26,20.93,
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,155.96,7.94,299.92,11.19,21.52,16.48,21.19,
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,151.42,8.06,292.49,11.09,21.41,15.96,20.51,
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,149.15,8.06,289.41,11.07,21.47,15.68,20.14,
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,144.53,7.99,281.73,10.94,21.33,15.15,19.46,
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,144.28,7.99,282.54,10.92,21.39,15.09,19.38,
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,142.95,7.91,281.24,10.80,21.25,14.92,19.15,
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,139.94,7.84,276.59,10.68,21.11,14.57,18.70,
1882.06,5.68,0.32,0.44,10.56,1882.46,3.62,137.95,7.77,273.94,10.56,20.98,14.33,18.39,
1882.07,6.00,0.32,0.43,10.47,1882.54,3.63,147.05,7.84,293.30,10.64,21.23,15.24,19.56,
1882.08,6.18,0.32,0.43,10.56,1882.62,3.63,150.09,7.77,300.67,10.52,21.08,15.53,19.91,
1882.09,6.24,0.32,0.43,10.28,1882.71,3.63,155.76,7.99,313.36,10.80,21.72,16.08,20.62,
1882.1,6.07,0.32,0.43,10.18,1882.79,3.63,152.93,8.06,309.02,10.88,21.98,15.76,20.19,
1882.11,5.81,0.32,0.43,10.09,1882.87,3.63,147.76,8.14,299.94,10.96,22.24,15.19,19.47,
1882.12,5.84,0.32,0.43,9.99,1882.96,3.63,149.94,8.22,305.75,11.04,22.51,15.38,19.70,
1883.01,5.81,0.32,0.43,9.99,1883.04,3.63,149.17,8.24,305.58,10.98,22.48,15.27,19.56,
1883.02,5.68,0.32,0.43,10.09,1883.12,3.63,144.46,8.18,297.32,10.81,22.25,14.76,18.90,
1883.03,5.75,0.32,0.42,9.99,1883.21,3.63,147.63,8.28,305.27,10.85,22.43,15.05,19.27,
1883.04,5.87,0.32,0.42,9.90,1883.29,3.63,152.16,8.38,316.09,10.89,22.62,15.48,19.82,
1883.05,5.77,0.32,0.42,9.80,1883.37,3.63,151.02,8.49,315.19,10.93,22.81,15.34,19.63,
1883.06,5.82,0.33,0.42,9.51,1883.46,3.63,156.90,8.76,328.98,11.19,23.46,15.90,20.36,
1883.07,5.73,0.33,0.41,9.32,1883.54,3.63,157.63,8.96,332.07,11.35,23.91,15.95,20.41,
1883.08,5.47,0.33,0.41,9.32,1883.62,3.62,150.47,8.99,318.58,11.28,23.88,15.20,19.45,
1883.09,5.53,0.33,0.41,9.23,1883.71,3.62,153.69,9.10,327.00,11.33,24.10,15.49,19.83,
1883.1,5.38,0.33,0.41,9.23,1883.79,3.62,149.52,9.12,319.75,11.26,24.07,15.05,19.26,
1883.11,5.46,0.33,0.40,9.13,1883.87,3.62,153.33,9.24,329.53,11.30,24.29,15.41,19.72,
1883.12,5.34,0.33,0.40,9.23,1883.96,3.62,148.41,9.17,320.61,11.12,24.02,14.90,19.07,
1884.01,5.18,0.33,0.39,9.23,1884.04,3.62,143.97,9.12,312.64,10.91,23.69,14.43,18.48,
1884.02,5.32,0.33,0.39,9.23,1884.12,3.61,147.86,9.08,322.74,10.70,23.36,14.81,18.96,
1884.03,5.30,0.33,0.38,9.23,1884.21,3.60,147.30,9.03,323.17,10.49,23.02,14.74,18.88,
1884.04,5.06,0.32,0.37,9.04,1884.29,3.60,143.59,9.17,316.70,10.50,23.16,14.35,18.40,
1884.05,4.65,0.32,0.36,8.85,1884.37,3.59,134.79,9.33,299.02,10.51,23.31,13.47,17.27,
1884.06,4.46,0.32,0.36,8.85,1884.46,3.58,129.29,9.28,288.51,10.29,22.96,12.91,16.58,
1884.07,4.46,0.32,0.35,8.75,1884.54,3.57,130.69,9.33,293.38,10.18,22.86,13.04,16.77,
1884.08,4.74,0.32,0.34,8.75,1884.62,3.56,138.90,9.28,313.54,9.96,22.49,13.86,17.83,
1884.09,4.59,0.32,0.33,8.66,1884.71,3.55,135.98,9.33,308.71,9.85,22.36,13.57,17.47,
1884.1,4.44,0.31,0.33,8.56,1884.79,3.55,133.00,9.38,303.71,9.74,22.23,13.27,17.11,
1884.11,4.35,0.31,0.32,8.37,1884.87,3.54,133.26,9.55,306.14,9.73,22.34,13.30,17.17,
1884.12,4.34,0.31,0.31,8.28,1884.96,3.53,134.48,9.61,310.78,9.61,22.20,13.43,17.36,
1885.01,4.24,0.30,0.31,8.28,1885.04,3.52,131.38,9.43,305.44,9.50,22.09,13.13,16.99,
1885.02,4.37,0.30,0.30,8.37,1885.12,3.51,133.87,9.14,312.99,9.29,21.72,13.38,17.33,
1885.03,4.38,0.29,0.30,8.18,1885.21,3.50,137.30,9.17,322.79,9.40,22.11,13.73,17.80,
1885.04,4.37,0.29,0.30,8.28,1885.29,3.48,135.41,8.88,320.09,9.19,21.73,13.55,17.58,
1885.05,4.32,0.28,0.29,8.09,1885.37,3.47,137.01,8.91,325.63,9.30,22.11,13.71,17.80,
1885.06,4.30,0.28,0.29,7.90,1885.46,3.46,139.67,8.93,333.70,9.42,22.51,13.98,18.17,
